Position #,FullName,Gender,Salary,Department,DepartmentName,Division,AssignmentCategory,Title,HiringAnalyst,VacancyStatus,VacancyDate,BudgetDate,PostingDate,InterviewDate,OfferDate,AcceptanceDate,SecurityCheckDate,HireDate
13212,"NEHLIG, SCOTTY",M,"$62,864.00 ",FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,11/10/2006,11/19/2006,11/24/2006,12/15/2006,12/21/2006,12/31/2006,1/9/2007,1/19/2007
13213,"ALEXANDRA, WENDELL",M,"$62,864.00 ",FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,11/12/2006,11/14/2006,11/21/2006,12/9/2006,12/24/2006,12/30/2006,1/9/2007,1/19/2007
13214,"OKLAND, PHILLIP",M,"$28,628.90 ",DLC,Department of Liquor Control,Pike,Parttime-Regular,Liquor Store Clerk I,JOHN BROWN,Filled,10/22/2006,11/12/2006,11/17/2006,12/3/2006,12/18/2006,12/25/2006,1/9/2007,1/19/2007
13215,"PIARD, CALVIN",M,"$62,864.00 ",FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,10/31/2006,11/17/2006,11/23/2006,12/11/2006,12/21/2006,1/1/2007,1/8/2007,1/19/2007
13216,"SHERROD, TOBY",M,"$176,837.00 ",CEC,Community Engagement Cluster,Community Partnerships,Fulltime-Regular,Director Office of Community Partnerships,MARY SMITH,Filled,11/3/2006,11/15/2006,11/23/2006,12/11/2006,12/24/2006,12/31/2006,1/8/2007,1/19/2007
13217,"VANMATRE, LAVERA",F,"$30,667.68 ",DLC,Department of Liquor Control,Goshen Crossing,Parttime-Regular,Liquor Store Clerk I,JOHN BROWN,Filled,10/29/2006,11/8/2006,11/17/2006,12/10/2006,12/23/2006,12/31/2006,1/8/2007,1/19/2007
13218,"LYSINGER, ERWIN",M,"$46,396.18 ",DLC,Department of Liquor Control,Liquor and Wine Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,JOHN BROWN,Filled,10/26/2006,11/9/2006,11/21/2006,12/6/2006,12/18/2006,12/31/2006,1/7/2007,1/19/2007
13219,"KOOSMANN, JEFFREY",M,"$59,869.00 ",FRS,Fire and Rescue Services,Station 28,Fulltime-Regular,Firefighter/Rescuer III,JENNIFER MARTINEZ,Filled,11/10/2006,11/17/2006,11/24/2006,12/14/2006,12/25/2006,12/29/2006,1/7/2007,1/19/2007
13220,"KLAASSEN, HARVEY",M,"$64,901.00 ",FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,10/24/2006,11/4/2006,11/13/2006,12/4/2006,12/22/2006,12/27/2006,1/7/2007,1/19/2007
13221,"STAVIG, DILLON",M,"$66,938.00 ",FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,MICHAEL GARCIA,Filled,10/22/2006,11/7/2006,11/14/2006,12/3/2006,12/17/2006,12/26/2006,1/7/2007,1/19/2007
13222,"HORNEMAN, SHAWN",M,"$62,864.00 ",FRS,Fire and Rescue Services,Station 34,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,10/28/2006,11/11/2006,11/15/2006,12/3/2006,12/13/2006,12/26/2006,1/7/2007,1/19/2007
13223,"GARRE, THOMAS",M,"$50,933.73 ",POL,Department of Police,ISB Criminal Investigations Division Crime Laboratory Section,Fulltime-Regular,Office Services Coordinator,DOROTHY THOMPSON,Filled,10/24/2006,11/7/2006,11/16/2006,12/4/2006,12/20/2006,12/30/2006,1/4/2007,1/19/2007
13224,"FABISH, GUILLERMO",M,"$62,864.00 ",FRS,Fire and Rescue Services,Station 24,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,11/19/2006,11/27/2006,12/3/2006,12/16/2006,12/24/2006,12/28/2006,1/4/2007,1/19/2007
13225,"MASLOW, DEREK",M,"$68,694.00 ",FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer III,MICHAEL GARCIA,Filled,10/20/2006,11/3/2006,11/15/2006,12/7/2006,12/21/2006,12/25/2006,1/3/2007,1/19/2007
13226,"HICKIN, CLAUDIO",M,"$46,394.90 ",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,11/18/2006,11/21/2006,11/27/2006,12/15/2006,12/28/2006,1/4/2007,1/15/2007,1/18/2007
13227,"BAGNASCO, ISMAEL",M,"$46,394.90 ",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,11/9/2006,11/20/2006,11/29/2006,12/16/2006,12/30/2006,1/5/2007,1/13/2007,1/18/2007
13228,"FRANICH, SAMATHA",F,"$18,786.77 ",LIB,Department of Public Libraries,Long Branch Library,Parttime-Regular,Library Assistant I,RICHARD THOMAS,Filled,11/6/2006,11/24/2006,11/30/2006,12/19/2006,12/29/2006,1/4/2007,1/12/2007,1/18/2007
13229,"LANOIX, MAURICE",M,"$46,394.90 ",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,10/28/2006,11/10/2006,11/18/2006,12/7/2006,12/17/2006,12/24/2006,1/7/2007,1/18/2007
13230,"KNIPPER, IRVIN",M,"$44,825.99 ",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,11/12/2006,11/18/2006,12/1/2006,12/20/2006,12/28/2006,12/31/2006,1/6/2007,1/18/2007
13231,"STEFANAC, JAMAAL",M,"$55,628.56 ",HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,RICHARD THOMAS,Filled,11/29/2006,12/5/2006,12/9/2006,12/24/2006,1/2/2007,1/10/2007,1/14/2007,1/17/2007
13232,"GEBER, DANETTE",F,"$39,828.21 ",DOT,Department of Transportation,Parking Management Operations,Fulltime-Regular,Revenue Counter,LINDA JONES,Filled,11/10/2006,11/22/2006,12/1/2006,12/17/2006,1/4/2007,1/8/2007,1/13/2007,1/17/2007
13233,"MOMENEE, PEG",F,"$52,174.36 ",HHS,Department of Health and Human Services,Disease Control - Immunization,Fulltime-Regular,Community Services Aide III,DAVID ANDERSON,Filled,11/9/2006,11/27/2006,12/2/2006,12/18/2006,12/27/2006,1/7/2007,1/12/2007,1/17/2007
13234,"SIMONE, MICHEL",F,"$66,809.24 ",HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,DAVID ANDERSON,Filled,11/1/2006,11/15/2006,11/23/2006,12/14/2006,12/26/2006,1/5/2007,1/12/2007,1/17/2007
13235,"GILTON, FLORINE",F,"$88,506.32 ",DGS,Department of General Services,Fleet Management Administration,Fulltime-Regular,Program Manager I,PATRICIA WILLIAMS,Filled,11/2/2006,11/11/2006,11/20/2006,12/10/2006,12/24/2006,1/3/2007,1/12/2007,1/17/2007
13236,"SWIGER, HECTOR",M,"$186,244.00 ",CEX,Offices of the County Executive,Chief Administrative Officer's Office,Fulltime-Regular,Assistant Chief Administrative Officer,MARY SMITH,Filled,11/11/2006,11/18/2006,11/26/2006,12/18/2006,12/27/2006,1/5/2007,1/11/2007,1/17/2007
13237,"GRAMAGLIA, CHESTER",M,"$44,535.87 ",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,BARBARA DAVIS,Filled,10/31/2006,11/17/2006,11/28/2006,12/12/2006,12/23/2006,1/3/2007,1/10/2007,1/17/2007
13238,"SUBBARAO, ROY",M,"$68,960.02 ",DOT,Department of Transportation,Highway Administration,Fulltime-Regular,Highway Inspector II,ROBERT MILLER,Filled,11/18/2006,11/25/2006,12/4/2006,12/19/2006,12/26/2006,12/31/2006,1/10/2007,1/17/2007
13239,"DEFORE, DOREEN",F,"$112,128.99 ",FIN,Department of Finance,Information Technology,Fulltime-Regular,Senior Information Technology Specialist,MICHAEL GARCIA,Filled,10/27/2006,11/1/2006,11/9/2006,11/29/2006,12/19/2006,1/2/2007,1/9/2007,1/17/2007
13240,"LAHTINEN, CLEORA",F,"$29,089.20 ",LIB,Department of Public Libraries,Gaithersburg Library,Parttime-Regular,Library Associate II,SUSAN HERNANDEZ,Filled,10/20/2006,11/3/2006,11/24/2006,12/12/2006,12/26/2006,1/1/2007,1/9/2007,1/17/2007
13241,"CUSEY, EMELIA",F,"$54,131.79 ",HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,MARIA TAYLOR,Filled,11/3/2006,11/20/2006,11/26/2006,12/14/2006,12/29/2006,1/2/2007,1/7/2007,1/17/2007
13242,"HAGERDON, LAURA",F,"$90,728.24 ",HHS,Department of Health and Human Services,Adult Protective Services - Nurse Assessment,Fulltime-Regular,Community Health Nurse II,JENNIFER MARTINEZ,Filled,11/10/2006,11/20/2006,11/25/2006,12/14/2006,12/25/2006,12/30/2006,1/7/2007,1/17/2007
13243,"FISCHMANN, LES",M,"$73,434.00 ",DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,HVAC Mechanic I,PATRICIA WILLIAMS,Filled,10/17/2006,10/30/2006,11/9/2006,12/4/2006,12/18/2006,12/24/2006,1/7/2007,1/17/2007
13244,"CERBANTES, EUN",F,"$19,296.20 ",LIB,Department of Public Libraries,Olney Library,Parttime-Regular,Library Desk Assistant,RICHARD THOMAS,Filled,11/6/2006,11/18/2006,11/24/2006,12/12/2006,12/22/2006,12/28/2006,1/4/2007,1/17/2007
13245,"ARISTONDO, JAMEL",M,"$92,448.63 ",DEP,Department of Environmental Protection,Solid Waste Services Operations,Fulltime-Regular,Program Manager I,PATRICIA WILLIAMS,Filled,10/24/2006,11/1/2006,11/12/2006,12/4/2006,12/19/2006,12/24/2006,1/4/2007,1/17/2007
13246,"GAETO, ORLANDO",M,"$107,967.04 ",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Senior Information Technology Specialist,DOROTHY THOMPSON,Filled,10/15/2006,10/31/2006,11/8/2006,11/29/2006,12/16/2006,12/23/2006,12/30/2006,1/17/2007
13247,"PAJOT, KEN",M,"$109,025.16 ",HHS,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Manager III,RICHARD THOMAS,Filled,11/9/2006,11/30/2006,12/7/2006,12/22/2006,12/31/2006,1/9/2007,1/13/2007,1/16/2007
13248,"VORAVONG, ELMIRA",F,"$80,663.00 ",HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,RICHARD THOMAS,Filled,11/13/2006,11/27/2006,11/28/2006,12/17/2006,12/30/2006,1/5/2007,1/12/2007,1/16/2007
13249,"PEGEL, FRANCESCA",F,"$52,496.41 ",HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Community Services Aide III,JENNIFER MARTINEZ,Filled,11/6/2006,11/15/2006,11/28/2006,12/15/2006,12/26/2006,12/30/2006,1/12/2007,1/16/2007
13250,"ZABOJNIK, DENNIS",M,"$107,121.00 ",DTS,Department of Technology Services,Media Services,Fulltime-Regular,Information Technology Specialist III,MICHAEL GARCIA,Filled,11/4/2006,11/22/2006,11/27/2006,12/14/2006,12/26/2006,1/1/2007,1/11/2007,1/16/2007
13251,"VELTMAN, JOHNATHAN",M,"$132,983.71 ",HHS,Department of Health and Human Services,Information Systems and Technology,Fulltime-Regular,Manager III,DAVID ANDERSON,Filled,11/5/2006,11/20/2006,11/29/2006,12/17/2006,12/27/2006,1/2/2007,1/9/2007,1/16/2007
13252,"IORIO, DEON",M,"$60,736.66 ",HCA,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Housing Code Inspector III,JENNIFER MARTINEZ,Filled,11/1/2006,11/14/2006,11/21/2006,12/11/2006,12/23/2006,12/30/2006,1/9/2007,1/16/2007
13253,"KODET, ROLLAND",M,"$63,161.52 ",DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,PATRICIA WILLIAMS,Filled,10/22/2006,11/9/2006,11/21/2006,12/7/2006,12/24/2006,12/31/2006,1/7/2007,1/16/2007
13254,"KREIG, BROOKS",M,"$44,535.87 ",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,LINDA JONES,Filled,11/1/2006,11/16/2006,11/24/2006,12/10/2006,12/24/2006,12/30/2006,1/7/2007,1/16/2007
13255,"ARRIA, RAYMON",M,"$67,715.00 ",POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,CHARLES MOORE,Filled,11/18/2006,11/27/2006,12/2/2006,12/13/2006,12/24/2006,12/26/2006,1/7/2007,1/16/2007
13256,"FANJOY, BRIAN",M,"$70,085.00 ",POL,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,CHARLES MOORE,Filled,11/13/2006,11/19/2006,11/21/2006,12/10/2006,12/19/2006,12/29/2006,1/6/2007,1/16/2007
13257,"VANNOZZI, ROGELIO",M,"$67,715.00 ",POL,Department of Police,PSB 5th District Special Assignment Team,Fulltime-Regular,Police Officer III,JOSEPH JACKSON,Filled,10/25/2006,11/2/2006,11/11/2006,12/2/2006,12/12/2006,12/25/2006,1/6/2007,1/16/2007
13258,"KLINGNER, AUSTIN",M,"$67,715.00 ",POL,Department of Police,PSB 5th District Special Assignment Team,Fulltime-Regular,Police Officer III,JOSEPH JACKSON,Filled,10/25/2006,11/6/2006,11/19/2006,12/11/2006,12/22/2006,12/30/2006,1/5/2007,1/16/2007
13259,"MOREJON, ARIEL",M,"$61,705.56 ",HHS,Department of Health and Human Services,Community Action Agency,Fulltime-Regular,Office Services Coordinator,DAVID ANDERSON,Filled,10/25/2006,11/7/2006,11/15/2006,12/10/2006,12/18/2006,12/25/2006,1/5/2007,1/16/2007
13260,"MOGOLLON, AARON",M,"$67,715.00 ",POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,JOSEPH JACKSON,Filled,11/11/2006,11/15/2006,11/20/2006,12/14/2006,12/29/2006,1/1/2007,1/4/2007,1/16/2007
13261,"APOSTOL, SHANE",M,"$67,715.00 ",POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,MARGARET MARTIN,Filled,11/12/2006,11/19/2006,11/25/2006,12/15/2006,12/24/2006,12/31/2006,1/4/2007,1/16/2007
13262,"MACKINDER, BARABARA",F,"$67,715.00 ",POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,MARGARET MARTIN,Filled,11/2/2006,11/13/2006,11/29/2006,12/15/2006,12/24/2006,12/30/2006,1/4/2007,1/16/2007
13263,"OFIELD, LYNDON",M,"$75,078.00 ",POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,CHARLES MOORE,Filled,10/20/2006,10/30/2006,11/8/2006,12/2/2006,12/18/2006,12/29/2006,1/4/2007,1/16/2007
13264,"CAYNOR, LANNY",M,"$64,531.00 ",SHF,Sheriff's Office,Civil Process,Fulltime-Regular,Deputy Sheriff III,THOMAS WHITE,Filled,10/12/2006,10/30/2006,11/6/2006,12/1/2006,12/18/2006,12/26/2006,1/4/2007,1/16/2007
13265,"ULIK, LIONEL",M,"$67,715.00 ",POL,Department of Police,ISB Criminal Investigations Division 4th District Investigative Section,Fulltime-Regular,Police Officer III,JOSEPH JACKSON,Filled,11/2/2006,11/10/2006,11/20/2006,12/6/2006,12/15/2006,12/23/2006,1/4/2007,1/16/2007
13266,"HONICK, GAYLORD",M,"$67,715.00 ",POL,Department of Police,PSB 1st District Special Assignment Team,Fulltime-Regular,Police Officer III,THOMAS WHITE,Filled,10/13/2006,10/30/2006,11/8/2006,11/27/2006,12/11/2006,12/22/2006,1/4/2007,1/16/2007
13267,"GIPPERT, SHERWOOD",M,"$67,715.00 ",POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,DOROTHY THOMPSON,Filled,10/3/2006,10/18/2006,10/28/2006,11/20/2006,12/6/2006,12/22/2006,1/4/2007,1/16/2007
13268,"BORGERS, JAMIE",M,"$67,715.00 ",POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,CHARLES MOORE,Filled,11/22/2006,11/28/2006,12/2/2006,12/12/2006,12/21/2006,12/31/2006,1/3/2007,1/16/2007
13269,"MONISMITH, SANG",M,"$67,715.00 ",POL,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,CHARLES MOORE,Filled,11/4/2006,11/19/2006,11/25/2006,12/10/2006,12/24/2006,12/29/2006,1/3/2007,1/16/2007
13270,"HARRS, ANTHONY",M,"$67,715.00 ",POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,MARGARET MARTIN,Filled,11/4/2006,11/8/2006,11/18/2006,12/8/2006,12/20/2006,12/27/2006,1/3/2007,1/16/2007
13271,"BUXKEMPER, REGGIE",M,"$67,715.00 ",POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,JOSEPH JACKSON,Filled,10/23/2006,11/10/2006,11/15/2006,12/5/2006,12/20/2006,12/26/2006,1/3/2007,1/16/2007
13272,"SLOWICK, KENDALL",M,"$67,715.00 ",POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,JOSEPH JACKSON,Filled,11/11/2006,11/18/2006,11/21/2006,12/11/2006,12/16/2006,12/26/2006,1/3/2007,1/16/2007
13273,"BISTER, OTTO",M,"$38,293.00 ",DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver Helper/Warehouse Worker,JOHN BROWN,Filled,10/14/2006,10/30/2006,11/3/2006,11/27/2006,12/10/2006,12/23/2006,1/3/2007,1/16/2007
13274,"HADDOCK, LENARD",M,"$67,715.00 ",POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,MARGARET MARTIN,Filled,10/19/2006,11/4/2006,11/8/2006,11/21/2006,12/4/2006,12/16/2006,1/3/2007,1/16/2007
13275,"JAYKO, DANE",M,"$67,715.00 ",POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,DOROTHY THOMPSON,Filled,10/4/2006,10/20/2006,10/26/2006,11/19/2006,12/4/2006,12/15/2006,1/3/2007,1/16/2007
13276,"MATTIVI, GIDGET",F,"$67,715.00 ",POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,JOSEPH JACKSON,Filled,10/19/2006,10/27/2006,11/3/2006,11/22/2006,12/6/2006,12/24/2006,1/2/2007,1/16/2007
13277,"LIDWELL, NATHAN",M,"$70,085.00 ",POL,Department of Police,PSB 3rd District Special Assignment Team,Fulltime-Regular,Police Officer III,MARGARET MARTIN,Filled,10/20/2006,10/27/2006,11/6/2006,11/25/2006,12/10/2006,12/29/2006,1/1/2007,1/16/2007
13278,"WINGEN, ANTONE",M,"$73,590.00 ",POL,Department of Police,ISB Criminal Investigations Division 3rd District Investigative Section,Fulltime-Regular,Master Police Officer,CHARLES MOORE,Filled,11/2/2006,11/16/2006,11/24/2006,12/12/2006,12/23/2006,12/26/2006,1/1/2007,1/16/2007
13279,"TESCHENDORF, EZEKIEL",M,"$67,715.00 ",POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,DOROTHY THOMPSON,Filled,10/18/2006,10/29/2006,11/9/2006,11/30/2006,12/14/2006,12/26/2006,1/1/2007,1/16/2007
13280,"SHENEFIELD, MISSY",F,"$67,715.00 ",POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,JOSEPH JACKSON,Filled,10/16/2006,11/2/2006,11/8/2006,11/27/2006,12/8/2006,12/17/2006,1/1/2007,1/16/2007
13281,"SIDES, DORETHA",F,"$77,707.00 ",POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,CHARLES MOORE,Filled,10/31/2006,11/19/2006,11/23/2006,12/11/2006,12/24/2006,12/26/2006,12/31/2006,1/16/2007
13282,"SPEAKE, BUDDY",M,"$62,093.49 ",COR,Correction and Rehabilitation,PTS Alternative Community Services,Fulltime-Regular,Correctional Specialist II,JAMES JOHNSON,Filled,11/10/2006,11/21/2006,11/27/2006,12/8/2006,12/20/2006,12/25/2006,12/31/2006,1/16/2007
13283,"DORELIEN, FORREST",M,"$67,715.00 ",POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,JOSEPH JACKSON,Filled,10/23/2006,11/4/2006,11/17/2006,12/5/2006,12/15/2006,12/25/2006,12/31/2006,1/16/2007
13284,"COULIBALY, IRA",M,"$67,715.00 ",POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,MARGARET MARTIN,Filled,10/31/2006,11/7/2006,11/16/2006,12/8/2006,12/16/2006,12/24/2006,12/31/2006,1/16/2007
13285,"SURREY, DEXTER",M,"$67,715.00 ",POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,MARGARET MARTIN,Filled,10/22/2006,11/3/2006,11/15/2006,12/3/2006,12/12/2006,12/23/2006,12/31/2006,1/16/2007
13286,"NIEDBALA, MOHAMED",M,"$67,715.00 ",POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,CHARLES MOORE,Filled,10/30/2006,11/9/2006,11/17/2006,12/6/2006,12/15/2006,12/21/2006,12/31/2006,1/16/2007
13287,"VALKER, CHI",M,"$67,715.00 ",POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,MARGARET MARTIN,Filled,10/27/2006,11/2/2006,11/9/2006,11/29/2006,12/10/2006,12/21/2006,12/31/2006,1/16/2007
13288,"LAMOURT, BESS",F,"$67,715.00 ",POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,MARGARET MARTIN,Filled,10/28/2006,11/7/2006,11/11/2006,11/24/2006,12/4/2006,12/21/2006,12/31/2006,1/16/2007
13289,"FOPPE, TANDY",F,"$67,050.86 ",POL,Department of Police,ISB Criminal Investigations Division Forensic Services Section,Fulltime-Regular,Forensics Specialist I,DOROTHY THOMPSON,Filled,10/13/2006,10/25/2006,11/5/2006,11/20/2006,12/7/2006,12/20/2006,12/31/2006,1/16/2007
13290,"BARBERENA, TAMMERA",F,"$67,715.00 ",POL,Department of Police,ISB Family Crimes Division Child Abuse Sexual Assault Section,Fulltime-Regular,Police Officer III,THOMAS WHITE,Filled,10/4/2006,10/25/2006,11/6/2006,11/27/2006,12/9/2006,12/19/2006,12/31/2006,1/16/2007
13291,"CILIBERTO, MADELYN",F,"$60,954.87 ",POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Services Assistant,JOSEPH JACKSON,Filled,10/22/2006,11/4/2006,11/9/2006,12/2/2006,12/18/2006,12/23/2006,12/30/2006,1/16/2007
13292,"PISK, MY",F,"$67,715.00 ",POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,DOROTHY THOMPSON,Filled,10/18/2006,10/29/2006,11/5/2006,11/29/2006,12/10/2006,12/22/2006,12/30/2006,1/16/2007
13293,"ESSINK, SHAD",M,"$77,707.00 ",POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,DOROTHY THOMPSON,Filled,10/8/2006,10/25/2006,11/3/2006,11/27/2006,12/9/2006,12/18/2006,12/30/2006,1/16/2007
13294,"LUTZKER, BEN",M,"$67,715.00 ",POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer III,CHARLES MOORE,Filled,11/5/2006,11/14/2006,11/19/2006,12/9/2006,12/17/2006,12/27/2006,12/29/2006,1/16/2007
13295,"DESLOOVER, MERRILL",M,"$80,427.00 ",POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,MARGARET MARTIN,Filled,10/18/2006,11/5/2006,11/9/2006,12/1/2006,12/13/2006,12/22/2006,12/28/2006,1/16/2007
13296,"HALUPTZOK, TYRELL",M,"$64,847.02 ",COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,MARY SMITH,Filled,10/30/2006,11/4/2006,11/12/2006,12/1/2006,12/13/2006,12/18/2006,12/28/2006,1/16/2007
13297,"BUSILLO, HOWARD",M,"$67,715.00 ",POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,DOROTHY THOMPSON,Filled,10/9/2006,10/25/2006,11/9/2006,11/29/2006,12/11/2006,12/17/2006,12/28/2006,1/16/2007
13298,"WASCHAK, LYNWOOD",M,"$67,715.00 ",POL,Department of Police,PSB 1st District Community Action Team,Fulltime-Regular,Police Officer III,MARGARET MARTIN,Filled,10/9/2006,10/25/2006,11/3/2006,11/25/2006,12/11/2006,12/16/2006,12/28/2006,1/16/2007
13299,"KOCOT, COY",M,"$67,715.00 ",POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,JOSEPH JACKSON,Filled,10/13/2006,10/25/2006,10/31/2006,11/25/2006,12/15/2006,12/21/2006,12/27/2006,1/16/2007
13300,"FRIEDLY, ABEL",M,"$64,531.00 ",SHF,Sheriff's Office,Sheriff Domestic Violence,Fulltime-Regular,Deputy Sheriff III,THOMAS WHITE,Filled,10/19/2006,10/24/2006,11/4/2006,11/25/2006,12/9/2006,12/16/2006,12/27/2006,1/16/2007
13301,"ALLAR, NELSON",M,"$67,715.00 ",POL,Department of Police,FSB Traffic Division Collision Reconstruction,Fulltime-Regular,Police Officer III,DOROTHY THOMPSON,Filled,9/30/2006,10/12/2006,10/25/2006,11/16/2006,12/2/2006,12/11/2006,12/27/2006,1/16/2007
13302,"BIERA, WALLACE",M,"$67,715.00 ",POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,CHARLES MOORE,Filled,10/29/2006,11/13/2006,11/21/2006,12/6/2006,12/18/2006,12/23/2006,12/26/2006,1/16/2007
13303,"TUMBLESTON, HENRY",F,"$67,715.00 ",POL,Department of Police,ISB Family Crimes Division Family Outreach Section,Fulltime-Regular,Police Officer III,MARGARET MARTIN,Filled,10/31/2006,11/5/2006,11/17/2006,12/4/2006,12/15/2006,12/18/2006,12/26/2006,1/16/2007
13304,"TROISI, TREVOR",M,"$67,715.00 ",POL,Department of Police,PSB 3rd District Special Assignment Team,Fulltime-Regular,Police Officer III,JOSEPH JACKSON,Filled,10/18/2006,10/24/2006,10/31/2006,11/22/2006,12/6/2006,12/17/2006,12/25/2006,1/16/2007
13305,"VERDERAME, DELINDA",F,"$67,715.00 ",POL,Department of Police,ISB Major Crimes Division Robbery Section,Fulltime-Regular,Police Officer III,MARGARET MARTIN,Filled,9/29/2006,10/15/2006,11/3/2006,11/28/2006,12/9/2006,12/15/2006,12/25/2006,1/16/2007
13306,"HENSMAN, TRACY",M,"$78,211.00 ",POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Sergeant,DOROTHY THOMPSON,Filled,9/16/2006,10/13/2006,10/27/2006,11/21/2006,12/4/2006,12/10/2006,12/25/2006,1/16/2007
13307,"CARODINE, JORGE",M,"$80,427.00 ",POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,DOROTHY THOMPSON,Filled,10/13/2006,10/25/2006,11/6/2006,11/24/2006,12/6/2006,12/13/2006,12/24/2006,1/16/2007
13308,"SCHILLINGS, CYRIL",M,"$67,715.00 ",POL,Department of Police,PSB 3rd District Community Action Team,Fulltime-Regular,Police Officer III,JOSEPH JACKSON,Filled,10/7/2006,10/24/2006,11/2/2006,11/22/2006,12/4/2006,12/12/2006,12/24/2006,1/16/2007
